[20.10.2024 | 16:27:11][ WARNING ] EVENT 2!
[20.10.2024 | 16:27:12][ WARNING ] EVENT 2!
[20.10.2024 | 16:27:12][ WARNING ] EVENT 2!
[20.10.2024 | 16:27:12][ WARNING ] EVENT 2!
[20.10.2024 | 16:27:12][ WARNING ] EVENT 2!
[20.10.2024 | 16:27:12][ WARNING ] EVENT 2!
[20.10.2024 | 16:27:12][ WARNING ] EVENT 2!
[20.10.2024 | 16:27:12][ WARNING ] EVENT 2!
[20.10.2024 | 16:27:12][ WARNING ] EVENT 2!
[20.10.2024 | 16:27:12][ WARNING ] EVENT 2!
[20.10.2024 | 16:27:12][ WARNING ] EVENT 2!
[20.10.2024 | 16:27:12][ WARNING ] EVENT 2!
[20.10.2024 | 16:27:12][ WARNING ] EVENT 2!
[20.10.2024 | 16:27:12][ WARNING ] EVENT 2!
[20.10.2024 | 16:27:12][ WARNING ] EVENT 2!
[20.10.2024 | 16:27:12][ WARNING ] EVENT 2!
[20.10.2024 | 16:27:14] Exiting...
[20.10.2024 | 16:27:14] Ending Scene state...



[20.10.2024 | 18:19:10] Launching "DronsEngine Game"...
[20.10.2024 | 18:19:12] Initialization...
[20.10.2024 | 18:19:13] Starting Scene state...
[20.10.2024 | 18:19:13] Start game loop...
[20.10.2024 | 18:19:17] Exiting...
[20.10.2024 | 18:19:17] Ending Scene state...



[20.10.2024 | 18:24:09] Launching "DronsEngine Game"...
[20.10.2024 | 18:24:10] Initialization...
[20.10.2024 | 18:24:11] Starting Scene state...
[20.10.2024 | 18:24:11] Start game loop...
[20.10.2024 | 19:23:26] [  INFO   ][UNDEFINED] Launching "DronsEngine Game"...
[20.10.2024 | 19:23:28] [  INFO   ][UNDEFINED] Initialization...
[20.10.2024 | 19:23:29] [  INFO   ][UNDEFINED] Starting Scene state...
[20.10.2024 | 19:23:29] [  INFO   ][UNDEFINED] Start game loop...
[20.10.2024 | 19:23:31] [ WARNING ][Physics Engine] EVENT 2!
[20.10.2024 | 19:23:31] [  ERROR  ][Physics Engine] EVENT 1!
[20.10.2024 | 19:23:31] [  ERROR  ][Physics Engine] EVENT 1!
[20.10.2024 | 19:23:31] [  ERROR  ][Physics Engine] EVENT 1!
[20.10.2024 | 19:23:31] [  ERROR  ][Physics Engine] EVENT 1!
[20.10.2024 | 19:23:31] [  ERROR  ][Physics Engine] EVENT 1!
[20.10.2024 | 19:23:32] [  ERROR  ][Physics Engine] EVENT 1!
[20.10.2024 | 19:23:32] [  ERROR  ][Physics Engine] EVENT 1!
[20.10.2024 | 19:23:32] [  ERROR  ][Physics Engine] EVENT 1!
[20.10.2024 | 19:23:32] [  ERROR  ][Physics Engine] EVENT 1!
[20.10.2024 | 19:23:32] [  ERROR  ][Physics Engine] EVENT 1!
[20.10.2024 | 19:23:32] [  ERROR  ][Physics Engine] EVENT 1!
[20.10.2024 | 19:23:32] [  ERROR  ][Physics Engine] EVENT 1!
[20.10.2024 | 19:23:32] [  ERROR  ][Physics Engine] EVENT 1!
[20.10.2024 | 19:23:32] [ WARNING ][Physics Engine] EVENT 2!
[20.10.2024 | 19:23:33] [ WARNING ][Physics Engine] EVENT 2!
[20.10.2024 | 19:23:33] [  ERROR  ][Physics Engine] EVENT 1!
[20.10.2024 | 19:23:33] [  ERROR  ][Physics Engine] EVENT 1!
[20.10.2024 | 19:23:33] [  ERROR  ][Physics Engine] EVENT 1!
[20.10.2024 | 19:23:33] [  ERROR  ][Physics Engine] EVENT 1!
